epoch,avg_loss,accuracy
1,4.76729647,0.223368
2,4.64480873,0.725086
3,4.52296579,0.731959
4,4.40188668,0.731959
5,4.28171229,0.731959
6,4.16260696,0.731959
7,4.04475867,0.731959
8,3.92837695,0.731959
9,3.81368785,0.731959
10,3.70092555,0.731959
11,3.59032070,0.731959
12,3.48208666,0.731959
13,3.37640531,0.731959
14,3.27341523,0.731959
15,3.17320487,0.731959
16,3.07581229,0.731959
17,2.98123100,0.731959
18,2.88941993,0.731959
19,2.80031452,0.731959
20,2.71383684,0.731959
21,2.62990328,0.731959
22,2.54842999,0.731959
23,2.46933633,0.731959
24,2.39254704,0.731959
25,2.31799355,0.731959
26,2.24561474,0.731959
27,2.17535728,0.731959
28,2.10717559,0.731959
29,2.04103151,0.731959
30,1.97689368,0.731959
31,1.91473658,0.731959
32,1.85453956,0.731959
33,1.79628562,0.731959
34,1.73996027,0.731959
35,1.68555028,0.731959
36,1.63304260,0.731959
37,1.58242337,0.731959
38,1.53367699,0.731959
39,1.48678541,0.731959
40,1.44172753,0.731959
41,1.39847879,0.735395
42,1.35701093,0.735395
43,1.31729180,0.735395
44,1.27928547,0.735395
45,1.24295232,0.735395
46,1.20824930,0.735395
47,1.17513025,0.735395
48,1.14354633,0.735395
49,1.11344641,0.735395
50,1.08477760,0.735395
